濱之鄉小學脇坂歸晤社會課《自動車生產公開課》中文逐字稿

[00:00:00.000] 社會科真的是非常龐大的資料。
[00:10:30.050] 必須維持這樣的品質
[00:10:53.560] 這是非常重要的地方
[00:10:55.560] 然而，對於我們的思考
[00:10:57.560] 對於任何事物
[00:10:59.560] 關於無限的秩序
[00:11:01.560] 現在，我們
[00:11:03.560] 請翻開一百三十一頁
[00:11:05.560] 幾乎
[00:11:19.440] 關於海外生產
[00:11:22.440] 人間世界的飛行物越來越減少
[00:11:27.290] 所有的工廠都移往海外
[00:11:29.290] 海外的零件很方便
[00:11:44.510] 日本生產零件的工廠
[00:11:47.510] 全部都倒閉了
[00:11:48.510] 但是，我們
[00:12:05.230] 日本人
[00:12:07.230] 需要在這間工廠生產
[00:12:09.230] 因為，
[00:12:11.230] 對於大企業來說
[00:12:13.230] 需要考慮生產成本
[00:12:16.230] 因此，
[00:12:17.230] 有許多糾結
[00:12:19.230] 需要研究
[00:12:23.230] 關於這點
[00:12:25.230] 該如何決定呢？
[00:12:27.230] 非常困難
[00:12:29.230] 今天，我們
[00:12:32.920] 在這間工廠裡
[00:12:34.920] 海外生產的原因
[00:12:35.920] 都已經知道了。
[00:12:36.920] 海外生產的部分
[00:12:38.920] 你們有什麼想像嗎？
[00:13:00.670] 日本國內的生產
[00:13:02.670] 更好
[00:13:03.670] 所以，
[00:13:14.810] 她
[00:13:16.810] 美咲的父親
[00:13:19.810] 母親
[00:13:21.810] 母親
[00:13:30.370] 我們
[00:13:32.370] 在海外
[00:13:34.370] 美咲的父親和母親
[00:13:36.370] 正在工作
[00:13:39.810] 國內的生產
[00:14:05.720] 非常好
[00:14:07.720] 美咲的父親和母親
[00:14:09.720] 非常好
[00:14:11.720] 但是，
[00:14:13.720] 我們
[00:14:15.720] 她
[00:14:46.450] 國內的生產
[00:14:48.450] 沒有
[00:14:50.450] 日本的國內生產
[00:14:53.760] 沒有，沒有在工作
[00:14:55.760] 然後，她
[00:15:16.160] 沒有在海外生產
[00:15:20.950] 日本的國內生產
[00:15:22.950] 很好
[00:15:28.240] 日本的國內生產
[00:15:30.240] 很好
[00:15:39.190] 但是，
[00:15:41.190] 我們
[00:15:56.660] 正在國內生產
[00:15:58.660] 我們
[00:16:00.660] 正在國內生產
[00:16:02.660] 然而，
[00:16:07.860] 國內的生產
[00:16:09.860] 非常高
[00:16:11.860] 非常高
[00:16:13.860] 不太...
[00:16:15.860] 海外的生產
[00:16:17.860] 沒有
[00:16:19.860] 所以，
[00:16:23.110] 日本的國內生產
[00:16:25.110] 很好
[00:16:27.110] 但是，
[00:16:38.710] 我們
[00:16:40.710] 日本的國內生產
[00:16:42.710] 很好
[00:16:44.710] 但是，
[00:17:00.120] 我們
[00:17:02.120] 生產
[00:17:04.120] 很好
[00:17:06.120] 生活工作
[00:17:08.120] 日本的生產
[00:17:10.120] 很好
[00:17:12.120] 和某人
[00:17:14.120] 我們
[00:17:17.680] 會越來越接近。
[00:17:23.840] 然而，
[00:17:25.840] 總是在日本和
[00:17:27.840] 嚴格的
[00:17:31.540] 標準，
[00:17:33.540] 國內的生產
[00:17:49.800] 一個小時的工資超過1,000日圓。
[00:17:54.800] 這樣的成本會比海外更高。
[00:18:01.840] 關於相關工廠，
[00:18:04.840] 他們正在生產，
[00:18:06.840] 但整體而言，
[00:18:08.840] 他們的努力是永無止境的。
[00:18:23.420] 他們，
[00:18:25.420] 正在創造社會的自治者。
[00:18:29.420] 他們完全是學生的感想。
[00:18:41.160] 關於大型工廠，
[00:18:45.160] 在日本，不購買生產的車輛。
[00:18:50.500] 像這樣，
[00:18:52.500] 關於社會經濟，
[00:18:55.500] 關於生活，
[00:18:57.500] 是貧困的狀況。
[00:19:01.680] 有很多意見。
[00:19:03.680] 在日本，
[00:19:05.680] 我認為海外生產比較好。
[00:19:08.680] 關於那一點，
[00:19:13.200] 社會上沒有那樣的潮流。
[00:19:17.960] 如同所見，
[00:19:19.960] 關於我個人，
[00:19:21.960] 在日本，
[00:19:23.960] 會進行整體的考量。
[00:19:26.960] 因此，
[00:19:28.960] 我們，
[00:19:30.960] 我們，
[00:19:35.300] 我們，
[00:19:37.300] 我們，
[00:19:39.300] 我們，
[00:19:41.300] 我們，
[00:19:43.300] 我們，
[00:19:45.300] 我們，
[00:19:47.300] 我們
[00:19:49.300] 我們
[00:19:51.300] 我們
[00:19:53.300] 我們
[00:19:55.300] 我們
[00:20:59.120] 我們
[00:21:01.120] 我們
[00:21:03.120] 我們
[00:21:05.120] 我們
[00:21:07.120] 我們
[00:21:09.120] 我們
[00:21:11.120] 我們
[00:21:13.120] 我們
[00:21:15.120] 我們
[00:21:17.120] 我們
[00:21:19.120] 兩年來一直去韓國
[00:21:23.120] 去了日本又去日本
[00:21:25.120] 這很困難
[00:21:45.010] 為了現今的社會
[00:21:47.010] 關於海外的發展
[00:21:49.010] 沒有其他方法
[00:21:51.010] 也有其他方法
[00:21:53.010] 接著
[00:22:35.200] 在這位教授之前
[00:22:37.200] 教授
[00:22:39.200] 以前
[00:22:41.200] 作為主角時
[00:22:42.200] 有幾個人在會場說話
[00:22:44.200] 其他人
[00:22:45.200] 也在會場說話
[00:22:47.200] 教授
[00:22:49.200] 每個人的想法
[00:22:51.200] 非常好的想法
[00:22:52.200] 教授
[00:22:53.200] 都跟每個人說了
[00:22:57.200] 大家一起
[00:22:59.200] 教授的努力
[00:23:01.200] 現今這兩年
[00:23:03.200] 有了教授的成果
[00:23:05.200] 值得考慮
[00:23:36.800] 就像現在這樣
[00:23:38.800] 教授
[00:24:09.250] 正在說著自己的感想
[00:24:11.250] 以前
[00:24:30.470] 他的公司
[00:24:32.470] 最大的原因是
[00:24:42.640] 他的公司
[00:24:44.640] 土地
[00:24:46.640] 埋了高架
[00:24:48.640] 談論生命
[00:24:50.640] 談論安全
[00:24:52.640] 在他之後
[00:25:03.410] 他的孩子
[00:25:05.410] 他的孩子
[00:25:18.640] 他的孩子
[00:25:20.640] 他的孩子
[00:25:22.640] 他的孩子
[00:25:24.640] 他的孩子
[00:25:29.840] 他的孩子
[00:25:31.840] 他的孩子
[00:25:33.840] 他的孩子
[00:25:35.840] 他的孩子
[00:25:37.840] 他的孩子
[00:25:39.840] 他的孩子
[00:25:46.840] 他的孩子
[00:25:48.840] 他的孩子
[00:25:50.840] 他的孩子
[00:25:52.840] 他的孩子
[00:25:54.840] 他的孩子
[00:26:24.740] 他的孩子
[00:26:26.740] 我認為，日本的工廠是非常高水準的產品。
[00:26:37.670] 日本的實力是非常高水準的產品。
[00:26:40.030] 所以，我真的不能沒有它。
[00:26:42.530] 所以，各位有在思考這個產品的問題嗎？
[00:26:56.460] 我認為，人們有錢。
[00:27:03.600] 所以，這個問題是，人們沒有錢。
[00:27:10.600] 家人思考著這個問題。
[00:27:25.240] 如果我個人來說，人們有錢。
[00:27:33.240] 有錢，卻擁有日本的產品。
[00:27:40.240] 我認為，木匠有錢。
[00:27:58.730] 木工匠是有錢的。
[00:28:02.730] 所以，進行全國的經濟生產，
[00:28:07.730] 我是，我是這樣想的。
[00:28:23.620] 但是，我是，我認為我沒有將它說給全國社會聽。
[00:28:33.050] 各位將它視為個人與社會層面，
[00:28:37.050] 那是，將它視為個人層面。
[00:28:46.710] 自己的意見和整體的意見是相同的。
[00:29:01.660] 日本的木材業者認為海外木材比較好。
[00:29:07.660] 日本整體的經濟正在下降。
[00:29:27.440] 全國都有問題。
[00:29:35.910] 非常好。
[00:29:36.910] 我們的人們正在傾聽。
[00:29:38.910] 我們也一起傾聽。
[00:29:57.970] 我們的公司養活了許多人。
[00:30:00.970] 養活了我們的家人。
[00:30:05.970] 我們的公司讓許多人得以生存。
[00:30:20.960] 我們可以寫下我們的想法。
[00:30:23.960] 然後寫下我們意見的名字。
[00:30:28.960] 我們的母親那邊非常痛苦。
[00:30:57.540] 我們沒有痛苦。
[00:31:00.540] 我們的問題是日本經濟正在下降。
[00:31:05.540] 日本有海外木材。
[00:31:52.930] 如果把日本木材限定在日本國內，
[00:31:58.930] 海外木材的經濟會受到影響。
[00:32:05.930] 我們的人們也是一樣的。
[00:32:28.900] 我們的勢力可以書寫所有文化。
[00:32:31.900] 我們的意見是作為食材。
[00:32:35.900] 那樣就太不同了。
[00:32:45.910] 在日本的日本所期望的日子裡，
[00:33:05.610] 正在撤退2017年。
[00:33:14.970] 因為學習普及開來，
[00:33:27.410] 調整了高漲的人事費。
[00:33:32.410] 中央民意就是在於說這個匯率的高漲、人事費的提升、還有這個關税的部分造成的緊張、非常地激烈
[00:33:55.610] TMCA最後一段的是澳洲的豐田公司
[00:34:04.610] 接下來它還是會販賣車子,但是它就不在那裏生產
[00:34:09.610] 所以4000個人的工作人員裏面大概會有2500個人失業
[00:34:16.610] 在2017年的時候
[00:34:18.610] 所以就是說豐田在這個澳洲的工場,因為人事費的提升而無法支撐
[00:34:32.280] 所以造成它沒有辦法在這個澳洲的工場營運
[00:34:39.860] 所以澳洲人大概有2500個人會因此失業
[00:34:43.860] 它怎麼覺得呢?還是覺得海外生產比較好嗎?
[00:34:52.370] 這樣一來，看看這份報導的話
[00:34:59.700] 想法能否改善呢？
[00:35:01.700] 老師，請你們在這個小組裡稍微討論一下。
[00:35:04.700] 這個組織在2014年發布了，預計2017年才要實施的官方決定。
[00:35:33.720] 也就是說，2500人馬上就會面臨生存的危機。
[00:36:14.510] 這個組織因為日本的人事費用，有2500人失業。
[00:36:22.510] 澳洲的人事費用與日本的人事費用相同。
[00:37:12.380] 日本的人事費用與海外生產的人事費用相同。
[00:37:17.380] 這個組織的員工最終失業了。
[00:37:24.380] 上一個組織有2500人失業。
[00:38:32.100] 這個組織有1500人失業。
[00:38:36.100] 這個組織的員工人事費用與日本的人事費用相同。
[00:38:39.100] 這個組織的人事費用與日本的人事費用相同。
[00:39:18.960] 和這個組織員工的人事費用一樣。
[00:39:22.960] 這個組織的人事費用與日本的人事費用相同。
[00:39:27.960] 與日本的人事費用相同。
[00:39:57.790] 為了這個組織員工原本的人事費用...
[00:40:11.790] 與日本的人事費用相同。
[00:40:17.790] 公司如果無法存活，就能藉由這種做法來保護日本技術。
[00:41:04.030] 封填社長做出了非常艱難的決定。
[00:41:09.030] 封填社長曾經一度非常地回顧/反思。
[00:41:23.870] 封填社長保護了重要的資產。
[00:41:26.870] 封填社長雖然開始了海外生產，
[00:41:28.870] 為了保護公司，
[00:41:30.870] 才開始了海外生產。
[00:41:32.870] 封填社長保護了應該保護的事物，
[00:41:34.870] 海外生產，造成了人員的痛苦犧牲，
[00:41:38.870] （這是一項）非常正當（的決定/犧牲），
[00:42:33.600] 每個人都一樣，
[00:42:35.950] 其他想法，
[00:42:36.950] 接近，
[00:43:28.100] 2017年，
[00:43:30.100] 正在進行撤退。
[00:44:42.200] 這份報告的內容，
[00:44:44.200] （我）沒有各種各樣的知識。
[00:44:46.200] 這非常困難。
[00:44:48.200] （我）沒有各種各樣的知識。
[00:44:51.200] 為了考慮到這一點，
[00:45:02.520] 為了考量國內生產和國外生產，
[00:45:05.520] 為了考量之前的問題，
[00:45:09.520] 為了考量之前的流動，
[00:45:11.520] 關於相同的事情，
[00:45:49.200] 2017年進行了撤退。
[00:45:51.200] 關於相同的事情，
[00:45:53.200] 在日本退出前，
[00:45:55.200] 為了說明海外生產，
[00:45:57.200] 為了退出海外，
[00:45:59.200] 為了退出日本，
[00:46:01.200] 為了說明海外生產，
[00:46:03.200] 這次有在做這項工作嗎？
[00:46:16.440] 所以，
[00:46:17.440] 這樣的結果，
[00:46:19.440] 我認為前面兩個人
[00:46:21.440] 會很不滿。
[00:46:23.840] 海外方面非常高興。
[00:46:24.840] 那是什麼？
[00:46:25.840] 非常高興。
[00:46:26.840] 對於前面兩個人來說，
[00:46:35.400] 並沒有這個結果。
[00:46:37.400] 所以，
[00:46:38.400] 我來解釋這個情況。
[00:46:42.070] 他們做出了一個非常困難的決定。
[00:46:44.470] 這些都寫在這份資料裡。
[00:47:27.860] 日本有8家工廠，
[00:47:29.160] 有14家工廠，
[00:47:32.460] 有16家工廠。
[00:47:33.860] 因此，海外有16家工廠。
[00:47:41.960] 因此，因為人很多，
[00:47:44.260] 事實上，他們保留了人力較多的部分。
[00:47:48.660] 這部分有他父親的工廠。
[00:48:00.730] 他父親在這家工廠工作。
[00:48:03.430] 也就是說，他父親正在解讀這件事。
[00:48:06.630] 因為海外的工廠很多，
[00:48:09.930] 這家工廠保留了海外的工廠。
[00:48:13.430] 他們保留了人力較多的部分。
[00:48:16.930] 工廠不能沒有公司。
[00:48:21.930] 公司不能不存在。
[00:48:23.830] 有這些資訊。
[00:48:26.330] 他的父親是我的家，是我的家，是我的家
[00:48:44.380] 他的父親，他的老師
[00:48:47.680] 這是市鎮那邊的 Golden restaurant
[00:48:51.980] 這是國際擁擠 encuent trust
[00:49:00.600] 有一個工廠，拍攝了日本人的其中之一
[00:49:03.240] 讓日本人的附屬品減少一些
[00:49:11.290] 黃色部分
[00:49:12.990] 黃色部分大約可以做到15歲的程度
[00:49:16.990] 也就是說，這個黃色部分因為這樣說
[00:49:19.290] 可以做到能夠工作的事情
[00:49:21.490] water is not decreasing until the spring festival
[00:49:25.790] 是日本人之間的零件
[00:49:27.590] 或者，也有海外生產的意圖
[00:49:31.910] 所以，還有什麼嗎？
[00:49:33.410] 今天必須展示時間
[00:49:35.210] 接下來的討論，想像學者被問到的事情
[00:49:37.910] 我，小孩子的思考是
[00:49:39.450] 我只是單純地聽了這位同學說的話
[00:49:51.430] 老師從中學到了很多其他事情
[00:49:53.870] 他的父親解釋了一件事
[00:49:55.370] 只是，有許多像帝王一樣的人
[00:49:58.290] 但是，你有一天會為了判斷自己的想法
[00:50:03.610] 我這樣做，或許能夠被你所接受
[00:50:06.610] 那麼現在，非常感謝
[00:50:13.580] 今天謝謝大家的蒞臨
[00:50:16.580] 然後，請大家發言
[00:50:20.580] 那麼，今天的感想是
[00:50:27.800] 是今天課堂的感想
[00:50:30.800] 請大家發言
[00:50:33.800] 在這堂課的最後
[00:50:35.800] 在我們的課堂的課堂中
[00:50:38.800] 不是你知道的
[00:50:40.800] 你所知道的是大論話
[00:50:42.800] 大論話是
[00:50:44.800] 多虧了
[00:50:46.800] 要去下一個課堂裡面
[00:48:48.800] 下一個課堂之後
[00:50:50.800] 當你沒有黏著的時候
[00:50:52.800] 你立刻針對這個
[00:50:55.800] 沒有什麼問題
[00:50:57.800] 那是，
[00:50:58.800] 我們沒有用心。
[00:51:00.800] 從那之後，
[00:51:02.800] 你就可以讓自己快樂，
[00:51:04.800] 或許你就能做到。
[00:51:06.800] 孩子們的學習很有趣。
[00:51:12.800] 今後，她會回老家。
[00:52:55.600] 今後，她會回老家，兩年、兩年、五年、一年。
[00:52:59.600] 今後，她會回老家。
[00:53:01.600] 接下來，是她的閱讀時間。
[00:53:03.600] 下課時，
[00:53:05.600] 從11點20分開始，
[00:53:10.870] 這40分鐘，她會去課堂教室。
[00:53:14.870] 她會去自己的教室。
[00:53:16.870] 她把所有事情都處理好了。
[00:53:20.870] 她去我的教室。
[00:53:22.870] 她每次都會調整方式。
[00:53:24.870] 她會去她的教室。
[00:53:26.870] 然後也是一樣，她會去她的教室。
[00:54:00.550] 她開始擔任校長。
[00:54:02.550] 她會去她的教室。
[00:54:04.550] 她只是一個簡單的引導。
[00:54:08.550] 她投入了心力。
[00:54:10.550] 她接受了某人。
[00:54:12.550] 她去找她的人。
[00:54:14.550] 她需要協助。
[00:54:20.070] 對於她父親的工廠來說，
[00:54:23.070] 她經歷了一段令人痛苦的故事。
[00:54:26.070] 所以，關於這種情況，
[00:54:28.070] 她必須要好好處理。
[00:54:31.070] 關於這方面，她的學習很重要。
[00:54:36.440] 這位老師，她能在社會科教學上投入許多心力。
[00:54:40.440] 她的研究主題是社會科。
[00:54:42.440] 因此，她的專長在於社會科領域。
[00:54:46.440] 然而，她的學生非常優秀，
[00:54:52.110] 她的學生卻不怎麼寫作。
[00:54:56.110] 她所教的內容，以及她的想法，都圍繞在知識層面。
[00:54:59.110] 都圍繞在知識層面。
[00:55:03.110] 她的想法，也就是她的意見，
[00:55:07.110] 她的意見也過於侷限在知識層面。
[00:55:12.110] 她並非描繪了所有部分，
[00:55:15.110] 她可以從她自己孩子所反對的事中學習。
[00:55:21.110] 她過去幾年，每個年級都有在家學習的時段。
[00:55:25.870] 例如，一年級的時候，在家裡學習10分鐘。
[00:55:49.530] 二年級20分鐘，三年級30分鐘。
[00:55:51.570] 六年級的時候，學習了paste。
[00:55:53.610] 正在學習Covid-19的影片。
[00:56:07.320] 她為了針對不同年齡層，在家裡學習。
[00:56:11.320] 為了針對不同年齡層，在家裡學習。
[00:56:14.320] 二年級20分鐘、三年級30分鐘、六年級60分鐘。
[00:56:18.320] 為了在家裡學習。
[00:56:25.380] 為了針對不同年齡層。
[00:56:30.940] 她必須寫。
[00:56:32.940] 她必須書寫朗讀課文。
[00:56:35.940] 她不寫月課文。
[00:56:43.420] 她的學歷不高。
[00:56:49.420] 她必須書寫學歷課文。
[00:56:59.420] 教導了世人。
[00:57:02.420] 那樣的科學很多，大概，為什麼要追求那個呢？
[00:57:10.420] 課堂上的碑碑 最重要
[00:57:11.420] 40分鐘中還是最重要的
[00:57:13.920] 現在像他們這麼多
[00:57:15.420] 一起放學後的家
[00:57:17.420] 回家
[00:57:18.420] 免費免費補習
[00:57:22.050] 這邊的孩子都冒無錢怎麼補習
[00:57:25.050] 有識有補習的啦
[00:57:26.050] 但是要有錢的才有
[00:57:28.050] 免費的話
[00:57:29.050] 他們沒有安心
[00:57:30.050] 今後都是回家
