[00:00] 什麼工作怎樣
[11:43] 請不吝點贊 訂閱 打賞支持明鏡與點點欄目
[12:13] 請不吝點贊 訂閱 打賞支持明鏡與點點欄目
[12:33] 請不吝點贊 訂閱 打賞支持明鏡與點點欄目
[13:01] 再一個慢走
[13:31] 好 來 非常時間到
[13:55] 不管你找到多少
[13:58] 現在請你找到的 把你找到的 跟你的組員做一個討論跟分享
[14:06] 但不是叫你把你 跟同學的全部抄上去喔
[14:11] 等一下同學輪流分享 請令子謝平
[14:17] 同學找到的是在第幾段第幾句
[14:21] 那為什麼同學會認為
[14:24] 他找到的答案叫做好的配音的條件
[14:27] 他從客文的哪邊找到的理由
[14:32] 我會點你 問你某個同學 彭主席是怎麼說的
[14:39] 現在給你五分鐘時間 請你小鼓勵討論
[14:57] 請訂閱 打賞支持明鏡與點點欄目
[19:44] 他現在我就先回擊點的臺文
[19:51] 請問
[19:54] 秀芷琳
[19:55] 你的同學和畢娘會同學
[19:59] 他們找到的好的配顏條件有什麼
[20:34] 會運用炎耳鼻孔
[20:37] 請問這個是在扣紋鼻子段
[20:45] 第三段對不對
[20:47] 運用他的炎耳鼻孔也就是說他會運用膽關
[20:53] 請問為什麼要運用膽關
[20:56] 舉手回答
[20:58] 為什麼要能夠運用膽關
[21:04] 誰可以幫忙解釋
[21:06] 來是怎樣
[21:11] 讓聲音變得不一樣
[21:13] 運用炎耳鼻孔會向他的聲音產生變化
[21:17] 那除此之外呢
[21:25] 服了為了讓聲音產生變化還有那樣子他的理由
[21:31] 來那個鑰匙
[21:38] 你是說不同的另外一個好的條件嗎
[21:43] 還是你在補充中明這裡
[21:46] 運用膽關
[21:48] 運用膽關你再說他是情緒
[21:54] 好其實運用情緒好像比較像第二種
[21:59] 因為他比較沒有牽涉
[22:03] 你說他會有不同的情緒
[22:14] 那這個我們先補充中明
[22:17] 再看有沒有人找到其他好的配音的條件
[22:29] 字字分明
[22:31] 字要清楚
[22:39] 還有呢
[22:41] 聲音要有強弱跟遠近
[22:49] 聲音
[22:56] 然後這個來
[23:01] 要分是多講對不對
[23:05] 他要有能力做到這些事情
[23:09] 那還有沒有
[23:16] 來
[23:18] 好
[23:25] 轉換心情融入真實情感
[23:29] 所以就是要有情緒起伏
[23:31] 要有真感
[23:36] 那還有呢
[23:45] 華語成
[23:48] 分析人物補充合作很好
[23:53] 他不是在配音當下要做到這個事情
[23:58] 他在配音前或是他完成配音工作後
[24:02] 他都要去做到這些事情
[24:07] 還有沒有
[24:10] 語恩
[24:13] 要注意角色的動作
[24:16] 還有
[24:18] 還要注意什麼
[24:30] 還有沒有其他的
[24:36] 還有沒有其他的
[24:38] 可以在後面利用機關的地方
[24:43] 好
[24:47] 掌握自己的聲音特色
[24:50] 因為像老師我聲音就是偏粗
[24:53] 我可能就沒有辦法配小女生
[24:56] 那你的聲音天氣
[24:57] 可能就配你的童年紀更小
[24:59] 就是這樣子
[25:00] 聲音特色
[25:12] 還有
[25:17] 會不同的語言
[25:20] 好
[25:23] 你就要會不同的語言
[25:26] OK
[25:28] 那接下來我們就來看
[25:31] 這是你們認為
[25:33] 他一個好的配音員要有的所有條件
[25:38] 我說要不要運用感官
[25:41] 因為感官可以讓我產生聲音的變化
[25:45] 除此之外
[25:48] 還要這些感官為什麼
[25:52] 在第三段開頭
[25:54] 他有沒有說他要配合什麼
[25:57] 配合什麼
[25:59] 來我來看第三段
[26:01] 打開錄音室大門
[26:03] 接下來他要做什麼念典
[26:06] 念典
[26:11] 念典
[26:13] 念典
[26:15] 留意角色的動作和嘴型
[26:20] 好
[26:22] 他是不是運用感官
[26:24] 除了要讓自己的聲音產生變化
[26:26] 還要做紅色
[26:29] 女裝
[26:34] 要留意角色的動作
[26:37] 還有他的一些嘴型
[26:40] 因為我們要讓觀眾認為
[26:45] 這個聲音真的是2D卡通人物發出來
[26:49] 所以他的嘴型
[26:51] 是不是要跟著角色有變化
[26:53] 他嘴巴給我打開
[26:56] 要注意這些
[27:00] 另外
[27:02] 我們都是看到他
[27:04] 都是在配音當下
[27:06] 會做到這些事情
[27:09] 這些都是我們找到的
[27:11] 他會有的
[27:13] 跑頭搖劍
[27:14] 非常好
[27:16] 接下來我們來進行下一個部分
[27:20] 我說這一個叫人聲就是性
[27:24] 他標題他為什麼要上線
[27:27] 他把聲音的聲音給放上去
[27:30] 舉手舉手
[27:32] 是什麼樣子
[27:34] 裝關
[27:36] 這個人聲的聲音的聲音
[27:38] 他是裝關的時候
[27:46] 哪個聲
[27:48] 是不是生活聲
[27:50] 生命的聲
[27:52] 因為他的獨音很相近
[27:56] 所以呢
[27:57] 我把他拿來
[27:59] 做一個裝關的用法
[28:01] 我們說他就叫協音裝關
[28:04] 那除了這一個人聲
[28:06] 就是性的聲音的聲
[28:09] 後額裡面還有其他協音的裝關
[28:14] 那現在給你一分鐘的時間
[28:17] 快速瀏覽文本
[28:19] 給你找一下
[28:20] 那一個他到底是做了哪一種的裝關
[28:24] 他替換哪一個字
[28:50] 你會發現文本裡面
[29:00] 有很多用上下影他框起來的字
[29:04] 看他代表什麼
[29:09] 有沒有是裝關
[29:12] 看到你出過是裝關
[29:14] 他又替替了
[29:20] 好
[29:33] 我們現在就不用急著進入
[29:36] 我們就先關文本
[29:38] 先看你有發現哪些
[29:51] 好
[30:13] 好
[30:16] 來
[30:18] 現在所有人
[30:20] 先暫停看一下
[30:25] 我一樣先填一個人
[30:28] 請問
[30:31] 你有沒有發現
[30:34] 在哪裡又出現了裝關
[30:37] 跟妖女同業的一樣
[30:46] 另一萬
[30:53] 你有沒有家地與美
[30:54] 其餘地生的聲
[30:55] 另一萬那邊對不對
[30:57] 那其餘地生的聲
[30:59] 他也是聲音的聲
[31:01] 那請問他是
[31:03] 把他跟哪一個字過替換了
[31:12] 是生活的聲嗎
[31:16] 是生活的聲嗎
[31:20] 有沒有其他的答案
[31:22] 不是聲音的聲嗎
[31:24] 不是生活的聲嗎
[31:27] 來
[31:31] 人聲的聲
[31:32] 也就是說吃了那個重要的人聲
[31:35] 那哪個聲
[31:36] 人聲
[31:39] 還是人聲生活的聲
[31:41] 你們都覺得他是用生活的聲
[31:43] 好
[31:44] 我們等一下再回來看
[31:46] 他除了這一個以外
[31:47] 前面還有沒有
[31:48] 後面還有沒有
[31:49] 不怎樣
[31:52] 你要補充說你這一個
[31:54] 你說他不是生命的聲
[31:56] 你就是你的聲
[31:58] 你覺得他是生命的聲
[32:00] 好
[32:01] 沒關係
[32:02] 我們等一下再來回來看
[32:05] 我們再來講
[32:06] 有沒有其他的前方關
[32:10] 哪裡
[32:13] 在職業跟你們那邊
[32:15] 是不是有一個
[32:16] 現聲說法
[32:19] 好那請問這個
[32:20] 現聲說法的聲
[32:22] 他應該是替換掉哪個字
[32:29] 他是替換掉哪個字
[32:31] 丫頭
[32:32] 身體的聲
[32:34] 你認為他是替換掉身體的聲
[32:39] 找到差別了
[32:40] 那還有沒有
[32:42] 那你
[32:46] 再替換另一句
[32:52] 是替換另一句
[32:55] 替換了最後一句
[32:57] 是不是有一個生活日常
[33:00] 那他的生活日常的聲
[33:02] 是取代掉哪個聲
[33:08] 是不是又是取代掉了
[33:10] 生命的聲
[33:11] 生活的
[33:14] 好
[33:15] 那再來還有沒有
[33:21] 怎麼樣
[33:28] 在哪裡
[33:29] 在第二段第二句
[33:32] 第二段第二句
[33:35] 在哪邊
[33:36] 在那個
[33:39] 那個
[33:40] 那個
[33:41] 那個是
[33:42] 那個
[33:43] 那個
[33:44] 那個
[33:45] 那個
[33:46] 那個
[33:47] 那個
[33:48] 那個
[33:49] 你說第二段的第一句
[33:51] 被學校自提起到的方法
[33:53] 來轉生
[33:55] 你覺得那個轉生的聲
[33:56] 你覺得他也有用雙關
[33:58] 是嗎
[33:59] 好
[34:01] 那我們平常說到
[34:03] 我們會說是哪個聲
[34:06] 我們會說是誰的聲
[34:09] 好
[34:10] 很好
[34:12] 那不是出來
[34:16] 後面有沒有
[34:19] 第三次
[34:20] 五六七有
[34:21] 沒有其他的
[34:23] 狂觀
[34:26] 我們都只找到前兩關
[34:28] 後面呢
[34:32] 有沒有其他的
[34:33] 我覺得其他的其實也有
[34:37] 好
[34:46] 好像都沒有答案
[34:48] 對不對
[34:49] 沒有
[34:50] 好來
[34:51] 我們先看前面黑板
[34:54] 手放到
[34:56] 你們剛剛找到這麼多
[34:58] 因為他都給你了一個上下癮號
[35:01] 提示你
[35:02] 他是有替換掉
[35:04] 第一個這個人生的聲
[35:05] 這個身體的聲
[35:07] 我們來看一下
[35:08] 其餘一聲
[35:09] 這個是克文第一關裡面的
[35:11] 欸
[35:12] 到底是生活的聲
[35:14] 還是身體的聲
[35:17] 你覺得是生病的聲的主手
[35:22] 你覺得他是把利於美
[35:24] 其餘身體的聲的主手
[35:29] 好像都有
[35:30] 那我們再回頭
[35:32] 看一下克文第一關的一把
[35:36] 他第一段
[35:37] 他是說
[35:38] 這一份
[35:39] 這是一份夢幻的職業
[35:41] 然後呢
[35:42] 可以在不用付費的情況下
[35:44] 看很多電影跟戲劇買了
[35:47] 但這也是需要今天雷霾的類
[35:50] 練習才可以收放製的表演工作
[35:55] 那他這個表演工作
[35:56] 會貫穿他的一輩子的生命
[35:58] 還是說他會把這個能力
[36:00] 放在他的身上
[36:03] 他是不是要運用自己的身體
[36:06] 還能夠展現這種聲音的利於美
[36:10] 不會是不是運用身體
[36:12] 身體
[36:14] 可以嗎
[36:15] 欸
[36:16] 所以他這一個雙關
[36:18] 其實是關關成身體的聲音
[36:21] 可以嗎
[36:22] 然後再來
[36:23] 現身說法
[36:26] 這個是在職業跟藝人的理念
[36:29] 他為什麼會變成聲音的聲音
[36:33] 為什麼那要寫聲音的聲音
[36:36] 我們是叫你找雙關
[36:37] 但是應該還是好理解
[36:39] 為什麼他要用
[36:40] 雙引號報錄
[36:42] 現身
[36:45] 不怎樣
[36:50] 很好
[36:51] 因為他就是配音員嘛
[36:54] 他就是用聲音嘛
[36:56] 對不對
[36:57] 我們之前
[36:58] 我們一開始平常說
[36:59] 現身說法
[37:00] 是整個人身體出來
[37:02] 跟你說話
[37:04] 可是配音員
[37:05] 他的幕後配音
[37:06] 你們看得到的長相身體
[37:09] 不會
[37:10] 你只聽得到他的聲音
[37:11] 所以他是不是就會使用到
[37:13] 這一個聲音
[37:18] 好
[37:19] 那再來
[37:20] 杜成陽又找到
[37:21] 在第二段的地方
[37:23] 他還沒有雙引號
[37:26] 他有一個
[37:27] 一天的工作開始之前
[37:29] 配音員會運用自己
[37:31] 洗號的方法
[37:32] 來做暖身
[37:35] 他說暖身
[37:39] 欸
[37:40] 你覺得他有那個方法嗎
[37:44] 你覺得他有雙關是什麼
[37:48] 好 放下
[37:49] 你覺得他其實應該模糊
[37:51] 反而不是
[37:52] 沒有錯過
[37:54] 好 張欣雲
[37:55] 那有欣雲跟你
[37:57] 你老年來說
[37:58] 你為什麼認為他沒有
[38:18] 很好
[38:19] 你說因為這個暖身的聲
[38:22] 他就是用方法
[38:24] 讓自己的聲音
[38:26] 可以發出來的意思
[38:29] 所以他實際上
[38:31] 你覺得他是
[38:32] 沒有雙關的
[38:34] 很好啊
[38:38] 對啊
[38:39] 因為像我們早上
[38:41] 我是不是說過
[38:42] 我們早上起床
[38:43] 一般人不會發出聲音
[38:46] 沒辦法
[38:47] 因為你喉嚨經過
[38:48] 一整個晚上休息
[38:49] 喉水沒有流到喉嚨
[38:51] 是乾的出來
[38:53] 所以他在進行配音之前
[38:55] 不要讓自己的聲音
[38:56] 可以設立喉嚨融珠
[38:58] 所以他實際上
[38:59] 暖身確實就是喉嚨融珠
[39:01] 可以了
[39:03] 好 那我們今天
[39:05] 這一刻就先討論到這邊
[39:08] 那剩下的呢
[39:09] 我們在之後
[39:10] 找時間繼續進行
[39:12] 那我們就到這邊合計
[39:14] 等一下
[39:19] 等一下你們英文課
[39:21] 東西就在哪
[39:23] 然後請你把他去準備好
